month_dt;cat;mdm_party_rk;amplitude_session_id;program_product_event_id
2022-01-01;Счета;12313;18013;80127
2022-01-01;Платежи;6288;8770;47552
2022-01-01;Чат;6046;8463;14905
2022-01-01;Бизнес карты;5671;6502;12043
2022-01-01;Блок действий;3341;3786;6831
2022-01-01;Лента операций;2677;3244;6210
2022-01-01;Еще;2336;2620;4421
2022-01-01;Экран Сервсы;1593;1923;3558
2022-01-01;Платежная форма;1476;1851;6286
2022-01-01;Сториз;967;1018;3978
2022-01-01;Экран Сервисы;891;1381;2849
2022-01-01;Онбординг платежей;801;804;1077
2022-01-01;Арест;673;852;2506
2022-01-01;Тарифы;534;569;1117
2022-01-01;Кредит;383;428;906
2022-01-01;Реквзиты;369;405;567
2022-01-01;Смена компании;327;456;1652
2022-01-01;Выписка;282;309;374
2022-01-01;Смена пина;275;279;283
2022-01-01;Лимиты;108;118;201
2022-02-01;Счета;25728;41614;196726
2022-02-01;Чат;16396;24299;43354
2022-02-01;Платежи;12650;19590;112560
2022-02-01;Бизнес карты;12586;14962;28316
2022-02-01;Блок действий;7400;8742;15918
2022-02-01;Лента операций;5864;7280;14747
2022-02-01;Еще;5124;5874;9829
2022-02-01;Экран Сервсы;3194;4156;7513
2022-02-01;Платежная форма;3133;4188;13964
2022-02-01;Сториз;2224;2420;9341
2022-02-01;Арест;1951;2720;7311
2022-02-01;Онбординг платежей;1851;1857;2451
2022-02-01;Экран Сервисы;1253;2306;4661
2022-02-01;Тарифы;1193;1317;3362
2022-02-01;Кредит;912;1024;2701
2022-02-01;Реквзиты;898;971;1362
2022-02-01;Смена компании;780;1196;2206
2022-02-01;Смена пина;649;657;661
2022-02-01;Выписка;580;649;870
2022-02-01;Лимиты;279;320;634
2022-03-01;Счета;35530;62349;293437
2022-03-01;Чат;21914;33984;58581
2022-03-01;Платежи;20023;31431;171349
2022-03-01;Бизнес карты;16256;19555;37092
2022-03-01;Блок действий;9531;11369;19927
2022-03-01;Лента операций;9146;12348;25481
2022-03-01;Еще;6683;7863;13442
2022-03-01;Арест;6549;10015;22950
2022-03-01;Платежная форма;4424;6196;27483
2022-03-01;Экран Сервсы;4081;5511;9742
2022-03-01;Сториз;2444;2693;9688
2022-03-01;Тарифы;2250;2676;9233
2022-03-01;Онбординг платежей;1928;1936;2574
2022-03-01;Кредит;1100;1274;3684
2022-03-01;Экран Сервисы;1096;2054;4188
2022-03-01;Смена пина;1059;1077;1081
2022-03-01;Реквзиты;1004;1077;1516
2022-03-01;Смена компании;993;1538;2800
2022-03-01;Выписка;991;1111;1472
2022-03-01;Лимиты;453;516;1011
2022-04-01;Платежи;21472;33022;114888
2022-04-01;Счета;19770;29415;138815
2022-04-01;Чат;11420;15489;26041
2022-04-01;Бизнес карты;7735;8818;15739
2022-04-01;Лента операций;4508;5412;11238
2022-04-01;Блок действий;4363;4972;8962
2022-04-01;Еще;3343;3779;6586
2022-04-01;Платежная форма;2404;3143;42725
2022-04-01;Экран Сервсы;2163;2911;5118
2022-04-01;Арест;1489;1935;4663
2022-04-01;Тарифы;1290;1452;5204
2022-04-01;Сториз;945;1016;4966
2022-04-01;Смена пина;711;726;729
2022-04-01;Выписка;600;664;881
2022-04-01;Кредит;575;637;1811
2022-04-01;Смена компании;516;734;1069
2022-04-01;Онбординг платежей;476;476;789
2022-04-01;Экран Сервисы;459;811;1638
2022-04-01;Реквзиты;458;481;679
2022-04-01;Лимиты;164;185;336
2022-05-01;Платежи;14477;21770;69106
2022-05-01;Счета;11989;17188;83470
2022-05-01;Чат;5916;7544;12256
2022-05-01;Бизнес карты;3868;4321;7817
2022-05-01;Лента операций;2107;2502;4822
2022-05-01;Блок действий;2083;2343;4203
2022-05-01;Еще;1945;2116;3685
2022-05-01;Платежная форма;1460;1878;29014
2022-05-01;Экран Сервсы;1058;1392;2324
2022-05-01;Тарифы;899;991;3475
2022-05-01;Сториз;605;652;3837
2022-05-01;Арест;356;412;1083
2022-05-01;Кредит;329;363;1019
2022-05-01;Смена пина;286;290;292
2022-05-01;Смена компании;263;360;656
2022-05-01;Экран Сервисы;226;364;798
2022-05-01;Выписка;197;206;286
2022-05-01;Реквзиты;191;203;298
2022-05-01;Лимиты;80;84;158
2022-05-01;Онбординг платежей;38;38;52
2022-06-01;Платежи;15213;23638;72101
2022-06-01;Счета;11598;17046;79691
2022-06-01;Чат;4875;5948;10546
2022-06-01;Бизнес карты;3878;4314;7755
2022-06-01;Лента операций;2048;2488;4829
2022-06-01;Еще;2014;2243;3776
2022-06-01;Блок действий;1913;2157;3847
2022-06-01;Платежная форма;1420;1841;30170
2022-06-01;Экран Сервсы;1164;1591;2612
2022-06-01;Тарифы;864;969;3336
2022-06-01;Арест;776;988;2925
2022-06-01;Сториз;657;715;4225
2022-06-01;Кредит;354;375;1053
2022-06-01;Смена пина;290;291;292
2022-06-01;Смена компании;238;321;397
2022-06-01;Выписка;216;229;277
2022-06-01;Экран Сервисы;189;287;575
2022-06-01;Реквзиты;186;194;276
2022-06-01;Лимиты;102;108;192
2022-06-01;Онбординг платежей;21;21;21
