0;1;2;3;4
2022-01-01;;9082484;44940849;65189952
2022-01-01;Платеж по реквзиитам;2523;3231;3588
2022-01-01;Просмотр деталей операций;19129;27718;43279
2022-01-01;"Нажатие на кнопку ""В Тинькофф Бизнес""";39489;62006;87578
2022-01-01;Пополнение счета ИП со счета физлица (внутри МБ физлиц);14076;22905;24399
2022-01-01;Нажатие на кнопку Бизнес-Карт;3281;3936;4511
2022-01-01;Просмотр реквизитов счета;10978;13805;15254
2022-01-01;Повтор платежа из деталей операций;338;409;447
2022-01-01;Перевод(вывод) со счета ИП на счет физлица (внутри МБ физлиц);37535;126654;132617
2022-02-01;;10699767;67007481;97395178
2022-02-01;Платеж по реквзиитам;3941;5158;5846
2022-02-01;Просмотр реквизитов счета;16216;20814;23103
2022-02-01;"Нажатие на кнопку ""В Тинькофф Бизнес""";56992;92572;133285
2022-02-01;Просмотр деталей операций;28327;43157;68605
2022-02-01;Перевод(вывод) со счета ИП на счет физлица (внутри МБ физлиц);51639;208202;218826
2022-02-01;Пополнение счета ИП со счета физлица (внутри МБ физлиц);20408;36539;38885
2022-02-01;Нажатие на кнопку Бизнес-Карт;5224;6306;7195
2022-02-01;Повтор платежа из деталей операций;538;676;755
2022-03-01;Просмотр деталей операций;36560;60148;99486
2022-03-01;Повтор платежа из деталей операций;760;967;1134
2022-03-01;Нажатие на кнопку Бизнес-Карт;7534;9345;11002
2022-03-01;Пополнение счета ИП со счета физлица (внутри МБ физлиц);27406;51301;56826
2022-03-01;Просмотр реквизитов счета;19850;25703;29628
2022-03-01;"Нажатие на кнопку ""В Тинькофф Бизнес""";75372;134876;197726
2022-03-01;Платеж по реквзиитам;5608;7549;9125
2022-03-01;;11658117;82187243;124288442
2022-03-01;Перевод(вывод) со счета ИП на счет физлица (внутри МБ физлиц);60593;256501;280740
2022-04-01;Повтор платежа из деталей операций;504;614;693
2022-04-01;;10345008;55462306;79903422
2022-04-01;Нажатие на кнопку Бизнес-Карт;4355;5162;5868
2022-04-01;Просмотр деталей операций;25033;36871;58126
2022-04-01;"Нажатие на кнопку ""В Тинькофф Бизнес""";48193;74466;101988
2022-04-01;Пополнение счета ИП со счета физлица (внутри МБ физлиц);19468;33138;35333
2022-04-01;Перевод(вывод) со счета ИП на счет физлица (внутри МБ физлиц);53948;197439;207180
2022-04-01;Платеж по реквзиитам;3475;4347;4910
2022-04-01;Просмотр реквизитов счета;10712;12862;14299
2022-05-01;Просмотр деталей операций;20913;29086;46607
2022-05-01;Перевод(вывод) со счета ИП на счет физлица (внутри МБ физлиц);51355;180226;188551
2022-05-01;Повтор платежа из деталей операций;258;317;359
2022-05-01;;9818729;46633009;66839415
2022-05-01;Нажатие на кнопку Бизнес-Карт;3406;4007;4476
2022-05-01;Платеж по реквзиитам;2872;3512;3973
2022-05-01;"Нажатие на кнопку ""В Тинькофф Бизнес""";30882;46715;54328
2022-05-01;Просмотр реквизитов счета;7890;9146;10072
2022-05-01;Пополнение счета ИП со счета физлица (внутри МБ физлиц);14485;23846;25401
2022-06-01;Нажатие на кнопку Бизнес-Карт;2819;3299;3711
2022-06-01;Повтор платежа из деталей операций;234;280;327
2022-06-01;Просмотр реквизитов счета;6873;7834;8597
2022-06-01;Платеж по реквзиитам;2495;2975;3365
2022-06-01;Пополнение счета ИП со счета физлица (внутри МБ физлиц);12893;19609;20781
2022-06-01;Перевод(вывод) со счета ИП на счет физлица (внутри МБ физлиц);46824;145762;152480
2022-06-01;"Нажатие на кнопку ""В Тинькофф Бизнес""";26107;39108;44899
2022-06-01;;9110151;35717424;51166050
2022-06-01;Просмотр деталей операций;18292;24764;40149
