0;1;2;3
2022-02-01;2163;2413;2694
2022-02-02;1868;2044;2325
2022-02-03;1731;1911;2196
2022-02-04;1566;1760;1993
2022-02-05;1140;1241;1380
2022-02-06;1082;1161;1294
2022-02-07;1730;1923;2166
2022-02-08;1512;1669;1874
2022-02-09;1446;1584;1750
2022-02-10;1586;1721;1908
2022-02-11;1394;1542;1712
2022-02-12;1000;1089;1234
2022-02-13;1001;1089;1219
2022-02-14;1568;1750;1959
2022-02-15;1823;2070;2305
2022-02-16;1785;2016;2283
2022-02-17;1635;1850;2077
2022-02-18;1472;1680;1906
2022-02-19;1127;1238;1389
2022-02-20;1196;1308;1459
2022-02-21;1878;2145;2419
2022-02-22;1606;1811;2058
2022-02-23;1245;1369;1527
2022-02-24;1337;1470;1657
2022-02-25;1860;2153;2443
2022-02-26;813;870;960
2022-02-27;1673;1801;2012
2022-02-28;2112;2430;2759
2022-03-01;2866;3271;7321
2022-03-02;2523;2883;3234
2022-03-03;2246;2525;2856
2022-03-04;2848;3332;3744
2022-03-05;2182;2431;2753
2022-03-06;1673;1839;2053
2022-03-07;1621;1792;1973
2022-03-08;1389;1500;1655
2022-03-09;3133;3706;4151
2022-03-10;2536;2982;3364
2022-03-11;2307;2604;2872
2022-03-12;1493;1596;1740
2022-03-13;1405;1523;1700
2022-03-14;2223;2467;2770
2022-03-15;2168;2454;2714
2022-03-16;2188;2468;2778
2022-03-17;1920;2148;2427
2022-03-18;1766;2007;2227
2022-03-19;1481;1704;1953
2022-03-20;1298;1409;1549
2022-03-21;1928;2153;2390
2022-03-22;2061;2342;2613
2022-03-23;1857;2060;2332
2022-03-24;1721;1953;2202
2022-03-25;1777;2020;2284
2022-03-26;1211;1321;1446
2022-03-27;1164;1265;1400
2022-03-28;2063;2343;2613
2022-03-29;2214;2555;2880
2022-03-30;2045;2302;2602
2022-03-31;2070;2412;2674
2022-04-01;2167;2436;2680
2022-04-02;1417;1539;1710
2022-04-03;1448;1565;1706
2022-04-04;1824;2018;2272
2022-04-05;909;969;1077
2022-04-06;890;943;1035
2022-04-07;963;1029;1161
2022-04-08;841;908;1005
2022-04-09;1320;1454;1595
2022-04-10;1257;1365;1485
2022-04-11;1053;1152;1250
2022-04-12;1263;1379;1530
2022-04-13;1647;1848;2027
2022-04-14;1102;1199;1329
2022-04-15;695;745;831
2022-04-16;1219;1330;1499
2022-04-17;1178;1272;1410
2022-04-18;1621;1804;2005
2022-04-19;1651;1822;2031
2022-04-20;953;1020;1138
2022-04-21;1063;1139;1268
2022-04-22;1154;1260;1382
2022-04-23;1032;1161;1296
2022-04-24;1020;1117;1273
2022-04-25;935;1045;1186
2022-04-26;599;653;734
2022-04-27;283;296;327
2022-04-28;256;277;303
2022-04-29;175;186;208
2022-04-30;317;335;374
