iteration,users,start_in_yellow
15,80,80
108,1,1
64,3,3
118,1,1
25,30,30
97,1,1
74,2,2
84,2,2
40,14,14
133,1,1
94,1,1
99,1,1
60,5,5
50,8,8
119,1,1
6,392,392
257,1,1
65,3,3
109,1,1
16,77,77
85,2,2
75,2,2
95,1,1
28,33,33
8,267,267
259,1,1
18,67,67
26,28,28
51,6,6
41,8,8
53,6,6
7,345,345
87,2,2
258,1,1
61,5,5
110,1,1
100,1,1
66,2,2
27,28,28
43,8,8
17,80,80
33,13,13
86,3,3
32,13,13
112,1,1
76,2,2
42,10,10
68,2,2
52,7,7
19,55,55
179,1,1
29,26,26
44,8,8
63,5,5
34,18,18
88,1,1
248,1,1
101,1,1
54,8,8
160,1,1
30,17,17
78,2,2
62,4,4
10,185,185
103,1,1
67,1,1
113,1,1
77,2,2
89,1,1
249,1,1
45,7,7
20,45,45
102,2,2
35,14,14
79,3,3
21,39,39
1,1974,1974
251,1,1
11,148,148
104,1,1
55,8,8
69,3,3
114,1,1
31,13,13
80,3,3
36,14,14
46,8,8
13,107,107
3,907,907
70,5,5
23,35,35
56,6,6
90,1,1
250,1,1
2,1307,1307
115,1,1
48,10,10
4,660,660
12,129,129
92,2,2
105,1,1
71,4,4
14,87,87
81,2,2
58,5,5
37,15,15
117,1,1
73,3,3
57,5,5
47,9,9
83,1,1
24,33,33
38,14,14
22,41,41
91,2,2
107,1,1
106,1,1
96,1,1
49,11,11
116,1,1
5,486,486
98,1,1
82,1,1
93,1,1
59,5,5
256,1,1
142,1,1
72,3,3
39,13,13
9,203,203
