metric_type,month_dt,gray_actions,gray_sessions,gray_users,yellow_actions,yellow_sessions,yellow_users,share_yellow_actions,share_yellow_sessions,share_yellow_users
transfer_data,2022-07-01,1427616,846850,222538,3966,3509,2898,0.0027780579651671,0.00414359095471453,0.0130224950345559
transfer_data,2022-08-01,792770,454183,170331,5687,5010,4052,0.00717358124046066,0.0110307959566959,0.0237889755828358
transfer_data,2022-09-01,459480,230068,118401,2670,2372,2062,0.0058109166884304,0.0103099953057357,0.0174153934510688
transfer_data,2022-10-01,204961,98251,63200,925,814,754,0.00451305370289958,0.0082849029526417,0.0119303797468354
no_transfer_data,2022-07-01,420210,349569,145666,49852,33155,24065,0.106054094991724,0.0866290068038587,0.141783174552675
no_transfer_data,2022-08-01,384944,290663,132769,83969,56523,36929,0.179071597503162,0.162803223632289,0.21761600018857
no_transfer_data,2022-09-01,507836,351664,147686,75579,49748,33216,0.129545863579099,0.123932518210716,0.183613227051111
no_transfer_data,2022-10-01,244297,161458,84417,30861,19844,15795,0.11215737866971,0.109452736318408,0.157615854388696
total,2022-07-01,1847826,1196419,368204,53818,36664,26963,0.0283599219677943,0.0298184574494906,0.0687359949422463
total,2022-08-01,1177714,744846,303100,89656,61533,40981,0.0710606388450982,0.0767848519221482,0.120522073117293
total,2022-09-01,967316,581732,266087,78249,52120,35278,0.0750305639589796,0.0825362640146956,0.117867178077066
total,2022-10-01,449258,259709,147617,31786,20658,16549,0.0662044201541701,0.0738965419795173,0.101271632438254
